1603::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::13:22 12.12.::Kasicka = Mara::http:// :: 
1602::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::13:20 12.12.::Agy = Katka::http:// :: 
1601::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::17:06 01.11.::Kasička == Kašík ... tak by nás mělo bejt 2 x (4+2) ... to sme to s Míšou dali pěkně dohromady co  <img src="zdroje/icons/smileys/11.gif" width="21" height="15" border="0" />  ... a ne že se někdo odhlásíte <img src="zdroje/icons/smileys/4.gif" width="15" height="15" border="0" />::http:// :: 
1600::volejbal::<span style="color:#3300FF;">Tomáš V.</span>:: ::18:29 11.10.::nechám odpočívat koleno dnes <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" />::http:// :: 
1599::volejbal::<span style="color:#33CCFF;">Tomáš R.</span>:: ::16:12 27.09.::Ještě uvidím, zda dnes přijdu.  Cely den mě bolí hlava...::http:// :: 
1598::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::15:43 27.09.::Jj, ale zadny jeleni  <img src="zdroje/icons/smileys/17.gif" width="16" height="16" border="0" /> ::http:// :: 
1597::volejbal::<span style="color:#33CCFF;">Tomáš V.</span>:: ::17:25 26.09.::Zítra pivko, když je v úterý volno?  <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" /> ::http:// :: 
1596::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::17:20 20.09.::Kdo můžete vemte míč, ať se máme čim rozpinkat <img src="zdroje/icons/smileys/4.gif" width="15" height="15" border="0" />::http:// :: 
1595::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::19:49 18.09.::V pondeli 20.9. zas po dlouhej době začínáme  <img src="zdroje/icons/smileys/11.gif" width="21" height="15" border="0" /> ::http:// :: 
1594::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::17:34 12.10.::Plácaná neni, plukovník zakázal ..  <img src="zdroje/icons/smileys/19.gif" width="21" height="16" border="0" /> ::http:// :: 
1593::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::16:31 05.10.::Ja bych šel, trénovat je třeba vícero sportů <img src="zdroje/icons/smileys/4.gif" width="15" height="15" border="0" />::http:// :: 
1592::volejbal::<span style="color:#33CCFF;">Tomáš V.</span>:: ::12:41 05.10.::Tak dneska pivo? <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" />::http:// :: 
1591::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::11:59 02.10.::5.10. trénink není - pondělky po AVLkových nedělích jsem jako loni nezamluval, teď v neděli je přípravnej turnaj a jdem Zegoni i Esa.::http:// :: 
1590::volejbal::<span style="color:#33CCFF;">Michal</span>:: ::13:01 28.09.::Já nevím, jak dorazím do Plzně. Když to stihnu, přijdu::http:// :: 
1589::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::12:20 28.09.::Super  <img src="zdroje/icons/smileys/4.gif" width="15" height="15" border="0" /> ::http:// :: 
1588::volejbal::<span style="color:#33CCFF;">Tomáš V.</span>:: ::11:09 28.09.::Michal Votřel -> zapsal jsem ho jako Štěpána::http:// :: 
1587::volejbal::<span style="color:#333399;">Tomáš R.</span>:: ::10:43 21.09.::Zdary, nevyhybam se vám, ale vy se chcete vyhnout mě   <img src="zdroje/icons/smileys/15.gif" width="15" height="15" border="0" />  jsem pro společnost pravděpodobně nebezpečný.  Byl jsem v kontaktu  <img src="zdroje/icons/smileys/18.gif" width="22" height="19" border="0" /> ::http:// :: 
1586::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::20:52 18.09.::Tělocvična zas otevřená, tak snad to vydrží::http:// :: 
1585::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::11:04 13.03.::Ahoj všichni - tak nám kvůli koroňáčkovi zavřeli tělocvičnu, tak až do odvolání sme bez tréninku  <img src="zdroje/icons/smileys/17.gif" width="16" height="16" border="0" /> ::http:// :: 
1584::volejbal::<span style="color:#33CC00;">Evča</span>:: ::17:25 09.03.::Ale kdybyste chtěli jít místo tréninku do hospody, tak to bych šla  <img src="zdroje/icons/smileys/2.gif" width="15" height="15" border="0" /> ::http:// :: 
1583::volejbal::<span style="color:#33CC00;">Evča</span>:: ::17:07 09.03.::Ahoj, v 6ti se mi fakt nechce, bolí mě rameno, tak si dám dneska jenom jeden trénink ;-(::http:// :: 
1582::volejbal::<span style="color:#FF0000;">Kasička</span>:: ::15:13 02.03.::Ahoj, kdyby nás bylo celkem 12, přijdu. Pokud bude více nepřijdu <img src="zdroje/icons/smileys/1.gif" width="15" height="15" border="0" />::http:// :: 
1581::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::10:29 24.02.::Ještě nevím jak budu večer unavenej po noční. Zatím jsem spal jen hodinku.::http:// :: 
1580::volejbal::<span style="color:#33CCFF;">Tomáš V.</span>:: ::09:28 24.02.::Zkusím přijít výjimečně včas, když mám klíče  <img src="zdroje/icons/smileys/1.gif" width="15" height="15" border="0" /> ::http:// :: 
1579::volejbal::<span style="color:#CC0033;">Tomáš R.</span>:: ::19:07 10.02.::Takže v neděli zdar! 😎::http:// :: 
1578::volejbal::<span style="color:#9966FF;">Majda</span>:: ::18:36 10.02.::Já už to stránku aktualizovat nebudu. <img src="zdroje/icons/smileys/1.gif" width="15" height="15" border="0" />::http:// :: 
